Amtlicher Gemeindeschlüssel,Bezeichnung,Verwaltungsform,Produktgruppe,Produktgruppentext,Konto,Kontotext,Euro
51130000,Essen,1,111,Verwaltungssteuerung und Service,6141,Zuweisungen und Zuschüsse für laufende Zwecke vom Land,10643028
51130000,Essen,1,111,Verwaltungssteuerung und Service,6142,Zuweisungen und Zuschüsse für laufende Zwecke von Gemeinden/GV,5609
51130000,Essen,1,111,Verwaltungssteuerung und Service,6144,Zuweisungen und Zuschüsse für laufende Zwecke vom sonstigen öffentlichen Bereich,228558
51130000,Essen,1,111,Verwaltungssteuerung und Service,6147,Zuweisungen und Zuschüsse für laufende Zwecke von privaten Unternehmen,2005459
51130000,Essen,1,111,Verwaltungssteuerung und Service,6148,Zuweisungen und Zuschüsse für laufende Zwecke von übrigen Bereichen,206959
51130000,Essen,1,111,Verwaltungssteuerung und Service,6311,Verwaltungsgebühren,492971
51130000,Essen,1,111,Verwaltungssteuerung und Service,6321,Benutzungsgebühren und ähnliche Entgelte,3738987
51130000,Essen,1,111,Verwaltungssteuerung und Service,6411,Mieten und Pachten,13647374
51130000,Essen,1,111,Verwaltungssteuerung und Service,6421,Einzahlungen aus Verkauf,451987
51130000,Essen,1,111,Verwaltungssteuerung und Service,6461,Sonstige privatrechtliche Leistungsentgelte,4389144
51130000,Essen,1,111,Verwaltungssteuerung und Service,6480,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom Bund",181071
51130000,Essen,1,111,Verwaltungssteuerung und Service,6481,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom Land",368313
51130000,Essen,1,111,Verwaltungssteuerung und Service,6482,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von Gemeinden/GV",4724931
51130000,Essen,1,111,Verwaltungssteuerung und Service,6483,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von Zweckverbänden und dgl.",31148
51130000,Essen,1,111,Verwaltungssteuerung und Service,6484,"Einzahlungen aus Kostenerstattungen, Kostenumlagen vom sonstigen öffentlichen Bereich",15706
51130000,Essen,1,111,Verwaltungssteuerung und Service,6485,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von verbundenen Unternehmen, Beteiligungen und Sondervermögen",9199803
51130000,Essen,1,111,Verwaltungssteuerung und Service,6486,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von sonstigen öffentlichen Sonderrechnungen",15699
51130000,Essen,1,111,Verwaltungssteuerung und Service,6487,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von privaten Unternehmen",4209520
51130000,Essen,1,111,Verwaltungssteuerung und Service,6488,"Einzahlungen aus Kostenerstattungen, Kostenumlagen von übrigen Bereichen",753344
51130000,Essen,1,111,Verwaltungssteuerung und Service,6521,Einzahlungen aus Vorsteuerüberhang,1018013
51130000,Essen,1,111,Verwaltungssteuerung und Service,6561,Bußgelder,1802741
51130000,Essen,1,111,Verwaltungssteuerung und Service,6562,Säumniszuschläge,1133427
51130000,Essen,1,111,Verwaltungssteuerung und Service,6591,Sonstige Einzahlungen aus laufender Verwaltungstätigkeit,5803419
51130000,Essen,1,111,Verwaltungssteuerung und Service,6617,Zinseinzahlungen von Kreditinstituten,67169
51130000,Essen,1,111,Verwaltungssteuerung und Service,6691,Sonstige Finanzeinzahlungen,57299
51130000,Essen,1,111,Verwaltungssteuerung und Service,6811,Investitionszuwendungen vom Land,3082076
51130000,Essen,1,111,Verwaltungssteuerung und Service,6817,Investitionszuwendungen von privaten Unternehmen,125000
51130000,Essen,1,111,Verwaltungssteuerung und Service,6831,Einzahlungen aus der Veräußerung von beweglichen Vermögensgegenständen,85000
51130000,Essen,1,111,Verwaltungssteuerung und Service,6851,Einzahlungen aus der Abwicklung von Baumaßnahmen,57711
51130000,Essen,1,111,Verwaltungssteuerung und Service,6865,"Rückflüsse von Ausleihungen von verbundenen Unternehmen, Beteiligungen und Sondervermögen",12602
51130000,Essen,1,111,Verwaltungssteuerung und Service,7011,Dienstbezüge Beamte,28148076
51130000,Essen,1,111,Verwaltungssteuerung und Service,7012,Dienstbezüge Tariflich Beschäftigte,33561663
51130000,Essen,1,111,Verwaltungssteuerung und Service,7019,Dienstbezüge Sonstige Beschäftigte,301664
51130000,Essen,1,111,Verwaltungssteuerung und Service,7022,Beiträge zu Versorgungskassen Tariflich Beschäftigte,2328058
